ctitle,etitle,link,imgsrc,rating,num,inq,bd
哈利·波特与魔法石,  Harry Potter and the Sorcerer's Stone,https://movie.douban.com/subject/1295038/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,9.2,1065092,童话世界的开端。,导演: Chris Columbus   主演: Daniel Radcliffe   Emma Watson   Rupert Grint 2001   美国 英国   奇幻 冒险
指环王3：王者无敌,  The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/1291552/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,9.3,738879,史诗的终章。,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood   西恩... 2003   美国 新西兰   剧情 动作 奇幻 冒险
乱世佳人,  Gone with the Wind,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,9.3,637568,Tomorrow is another day.,导演: 维克多·弗莱明 Victor Fleming   乔治·库克 George Cukor   主演: 费... 1939   美国   剧情 历史 爱情 战争
素媛,  소원,https://movie.douban.com/subject/21937452/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,9.3,627696,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol   严志媛 Ji-won Uhm ... 2013   韩国   剧情
飞屋环游记,  Up,https://movie.douban.com/subject/2129039/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg,9.1,1225548,最后那些最无聊的事情，才是最值得怀念的。 ,导演: 彼特·道格特 Pete Docter   鲍勃·彼德森 Bob Peterson   主演: 爱德... 2009   美国   剧情 喜剧 动画 冒险
我不是药神, ,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,9.0,1941082,对我们国家而言，这样的电影多一部是一部。,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu   王传君 Chuanjun Wang   周... 2018   中国大陆   剧情 喜剧
摔跤吧！爸爸,  Dangal,https://movie.douban.com/subject/26387939/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,9.0,1456102,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan   法缇玛... 2016   印度   剧情 传记 运动 家庭
何以为家,  كفرناحوم,https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,9.1,957356,凝视卑弱生命，用电影改变命运。,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea   ... 2018   黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国   剧情
十二怒汉,  12 Angry Men,https://movie.douban.com/subject/1293182/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,9.4,441628,1957年的理想主义。 ,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda   马丁·鲍尔萨姆 Marti... 1957   美国   剧情
哈尔的移动城堡,  ハウルの動く城,https://movie.douban.com/subject/1308807/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,9.1,930808,带着心爱的人在天空飞翔。,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô   木村拓... 2004   日本   动画 奇幻 冒险
少年派的奇幻漂流,  Life of Pi,https://movie.douban.com/subject/1929463/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,9.1,1259583,瑰丽壮观、无人能及的冒险之旅。,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma   伊尔凡·可汗 Irrfan... 2012   美国 中国台湾 英国 加拿大   剧情 奇幻 冒险
鬼子来了, ,https://movie.douban.com/subject/1291858/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,9.3,572772,对敌人的仁慈，就是对自己残忍。,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang   香川照之 Teruyuki Kagawa  ... 2000   中国大陆   剧情 喜剧
猫鼠游戏,  Catch Me If You Can,https://movie.douban.com/subject/1305487/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,9.1,906004,骗子大师和执著警探的你追我跑故事。 ,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L... 2002   美国 加拿大   传记 犯罪 剧情
大话西游之月光宝盒,  西遊記第壹佰零壹回之月光寶盒,https://movie.douban.com/subject/1299398/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,9.0,1131739,旷古烁今。,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow   吴孟达 Man Tat Ng... 1995   中国香港 中国大陆   喜剧 爱情 奇幻 古装
天空之城,  天空の城ラピュタ,https://movie.douban.com/subject/1291583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,9.1,760112,对天空的追逐，永不停止。 ,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka   横泽启子 Ke... 1986   日本   动画 奇幻 冒险
让子弹飞, ,https://movie.douban.com/subject/3742360/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,8.9,1546224,你给我翻译翻译，神马叫做TMD的惊喜。,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang   葛优 You Ge   周润发 Yun-F... 2010   中国大陆 中国香港   剧情 喜剧 动作 西部
